lat,long,F_ID,NumFat,FAT_ID,NumZone,OLT_ID,AddrZone
34.20963856,43.90955808,FAT09-FTK0051,9,FAT09,51,FTK0051,حي الافراز
34.20934659,43.90867969,FAT10-FTK0051,10,FAT10,51,FTK0051,حي الافراز
34.20800202,43.9099227,FAT11-FTK0051,11,FAT11,51,FTK0051,حي الافراز
34.20797133,43.90987993,FAT12-FTK0051,12,FAT12,51,FTK0051,حي الافراز
34.20734418,43.90990846,FAT13-FTK0051,13,FAT13,51,FTK0051,حي الافراز
34.20697669,43.90957329,FAT14-FTK0051,14,FAT14,51,FTK0051,حي الافراز
34.20677784,43.90926503,FAT15-FTK0051,15,FAT15,51,FTK0051,حي الافراز
34.2086789,43.90971483,FAT18-FTK0051,18,FAT18,51,FTK0051,حي الافراز
34.20793994,43.90896408,FAT19-FTK0051,19,FAT19,51,FTK0051,حي الافراز
34.20830993,43.90775009,FAT20-FTK0051,20,FAT20,51,FTK0051,حي الافراز
34.20841977,43.90905315,FAT21-FTK0051,21,FAT21,51,FTK0051,حي الافراز
34.20901,43.90865,FAT22-FTK0051,22,FAT22,51,FTK0051,حي الافراز
34.20846206,43.90800328,FAT23-FTK0051,23,FAT23,51,FTK0051,حي الافراز
34.20819569,43.90767429,FAT24-FTK0051,24,FAT24,51,FTK0051,حي الافراز
34.20837181,43.90785304,FAT25-FTK0051,25,FAT25,51,FTK0051,حي الافراز
34.20900302,43.90664418,FAT26-FTK0051,26,FAT26,51,FTK0051,حي الافراز
34.20812379,43.90592561,FAT27-FTK0051,27,FAT27,51,FTK0051,حي الافراز
34.20959609,43.90633833,FAT28-FTK0051,28,FAT28,51,FTK0051,حي الافراز
34.20914248,43.90750298,FAT29-FTK0051,29,FAT29,51,FTK0051,حي الافراز
34.2104345,43.90797678,FAT30-FTK0051,30,FAT30,51,FTK0051,حي الافراز
34.2092112,43.9081102,FAT31-FTK0051,31,FAT31,51,FTK0051,حي الافراز
34.21000889,43.90771218,FAT32-FTK0051,32,FAT32,51,FTK0051,حي الافراز
